step,epoch,loss,learning_rate,grad_norm,source_job,source_file
1830,0.33,65.1475,6.744525547445256e-06,22.539234161376953,308081,slurm_train_fusellm_resume-308081.out
1840,0.33,64.1944,6.726277372262774e-06,21.479028701782227,308081,slurm_train_fusellm_resume-308081.out
1850,0.33,64.2695,6.708029197080293e-06,23.21242904663086,308081,slurm_train_fusellm_resume-308081.out
1860,0.34,64.2635,6.689781021897811e-06,24.89191436767578,308081,slurm_train_fusellm_resume-308081.out
1870,0.34,65.6988,6.67153284671533e-06,21.353994369506836,308081,slurm_train_fusellm_resume-308081.out
1880,0.34,63.9287,6.653284671532847e-06,21.884187698364258,308081,slurm_train_fusellm_resume-308081.out
1890,0.34,64.4463,6.635036496350365e-06,23.313804626464844,308081,slurm_train_fusellm_resume-308081.out
1900,0.34,64.29,6.616788321167884e-06,21.802072525024414,308081,slurm_train_fusellm_resume-308081.out
1910,0.35,64.3026,6.5985401459854016e-06,20.864139556884766,308081,slurm_train_fusellm_resume-308081.out
1920,0.35,64.7244,6.58029197080292e-06,21.270919799804688,308081,slurm_train_fusellm_resume-308081.out
1930,0.35,65.213,6.562043795620439e-06,21.641801834106445,308081,slurm_train_fusellm_resume-308081.out
1940,0.35,64.427,6.543795620437957e-06,22.196855545043945,308081,slurm_train_fusellm_resume-308081.out
1950,0.35,65.4261,6.525547445255475e-06,22.816089630126953,308081,slurm_train_fusellm_resume-308081.out
1960,0.35,64.7192,6.5072992700729935e-06,24.57404327392578,308081,slurm_train_fusellm_resume-308081.out
1970,0.36,65.1637,6.489051094890511e-06,22.3310489654541,308081,slurm_train_fusellm_resume-308081.out
1980,0.36,64.6024,6.47080291970803e-06,21.403512954711914,308081,slurm_train_fusellm_resume-308081.out
1990,0.36,64.9308,6.4525547445255475e-06,24.682958602905273,308081,slurm_train_fusellm_resume-308081.out
2000,0.36,64.0968,6.434306569343066e-06,22.291099548339844,308081,slurm_train_fusellm_resume-308081.out
2010,0.36,64.7991,6.416058394160585e-06,21.72368812561035,308081,slurm_train_fusellm_resume-308081.out
2020,0.37,64.2736,6.397810218978102e-06,22.417858123779297,308081,slurm_train_fusellm_resume-308081.out
2030,0.37,64.628,6.379562043795621e-06,21.926836013793945,308081,slurm_train_fusellm_resume-308081.out
2040,0.37,63.2338,6.3613138686131395e-06,21.891332626342773,308081,slurm_train_fusellm_resume-308081.out
2050,0.37,63.3094,6.343065693430658e-06,21.480098724365234,308081,slurm_train_fusellm_resume-308081.out
2060,0.37,64.9354,6.324817518248175e-06,21.28900146484375,308081,slurm_train_fusellm_resume-308081.out
2070,0.37,65.5985,6.3065693430656935e-06,29.00538444519043,308081,slurm_train_fusellm_resume-308081.out
2080,0.38,64.1213,6.288321167883212e-06,22.792015075683594,308081,slurm_train_fusellm_resume-308081.out
2090,0.38,63.6668,6.270072992700731e-06,21.537343978881836,308081,slurm_train_fusellm_resume-308081.out
2100,0.38,64.9365,6.251824817518248e-06,22.88007926940918,308081,slurm_train_fusellm_resume-308081.out
2110,0.38,64.7694,6.233576642335767e-06,21.916696548461914,308081,slurm_train_fusellm_resume-308081.out
2120,0.38,65.0069,6.2153284671532855e-06,22.54486083984375,308081,slurm_train_fusellm_resume-308081.out
2130,0.39,64.3938,6.197080291970804e-06,23.252756118774414,308081,slurm_train_fusellm_resume-308081.out
2140,0.39,64.2317,6.178832116788322e-06,24.620656967163086,308081,slurm_train_fusellm_resume-308081.out
2150,0.39,64.4459,6.16058394160584e-06,22.9657039642334,308081,slurm_train_fusellm_resume-308081.out
2160,0.39,64.378,6.142335766423359e-06,20.921030044555664,308081,slurm_train_fusellm_resume-308081.out
2170,0.39,64.4568,6.124087591240876e-06,27.27682113647461,308081,slurm_train_fusellm_resume-308081.out
2180,0.39,63.6875,6.105839416058394e-06,29.09320831298828,308081,slurm_train_fusellm_resume-308081.out
2190,0.4,65.3363,6.087591240875913e-06,21.962373733520508,308081,slurm_train_fusellm_resume-308081.out
2200,0.4,65.0865,6.0693430656934315e-06,21.9251708984375,308081,slurm_train_fusellm_resume-308081.out
2210,0.4,65.1748,6.051094890510949e-06,21.397579193115234,308081,slurm_train_fusellm_resume-308081.out
2220,0.4,64.353,6.032846715328468e-06,22.49964714050293,308081,slurm_train_fusellm_resume-308081.out
2230,0.4,64.1786,6.014598540145986e-06,20.917734146118164,308081,slurm_train_fusellm_resume-308081.out
2240,0.41,64.3119,5.996350364963505e-06,20.970577239990234,308081,slurm_train_fusellm_resume-308081.out
2250,0.41,64.0115,5.978102189781022e-06,21.278305053710938,308081,slurm_train_fusellm_resume-308081.out
2260,0.41,63.397,5.95985401459854e-06,24.387683868408203,308081,slurm_train_fusellm_resume-308081.out
2270,0.41,64.582,5.941605839416059e-06,21.296125411987305,308081,slurm_train_fusellm_resume-308081.out
2280,0.41,64.7884,5.923357664233577e-06,22.23017692565918,308081,slurm_train_fusellm_resume-308081.out
2290,0.41,63.9976,5.905109489051095e-06,21.13564109802246,308081,slurm_train_fusellm_resume-308081.out
2300,0.42,65.2,5.886861313868614e-06,20.656036376953125,308081,slurm_train_fusellm_resume-308081.out
2310,0.42,64.5356,5.868613138686132e-06,30.926315307617188,308081,slurm_train_fusellm_resume-308081.out
2320,0.42,65.2322,5.85036496350365e-06,22.136524200439453,308081,slurm_train_fusellm_resume-308081.out
2330,0.42,64.737,5.832116788321169e-06,22.916027069091797,308081,slurm_train_fusellm_resume-308081.out
2340,0.42,64.683,5.813868613138687e-06,22.305173873901367,308081,slurm_train_fusellm_resume-308081.out
2350,0.43,63.9853,5.795620437956206e-06,22.135385513305664,308081,slurm_train_fusellm_resume-308081.out
2360,0.43,64.5378,5.777372262773723e-06,20.396360397338867,308081,slurm_train_fusellm_resume-308081.out
2370,0.43,64.2111,5.759124087591241e-06,22.784893035888672,308081,slurm_train_fusellm_resume-308081.out
2380,0.43,64.3049,5.74087591240876e-06,22.858047485351562,308081,slurm_train_fusellm_resume-308081.out
2390,0.43,64.6173,5.7226277372262774e-06,20.543500900268555,308081,slurm_train_fusellm_resume-308081.out
2400,0.43,64.045,5.704379562043796e-06,21.10442543029785,308081,slurm_train_fusellm_resume-308081.out
2410,0.44,64.511,5.6861313868613146e-06,21.724735260009766,308081,slurm_train_fusellm_resume-308081.out
2420,0.44,63.6913,5.667883211678833e-06,21.82569122314453,308081,slurm_train_fusellm_resume-308081.out
2430,0.44,65.0692,5.64963503649635e-06,22.063016891479492,308081,slurm_train_fusellm_resume-308081.out
2440,0.44,64.7102,5.6313868613138686e-06,21.54584312438965,308081,slurm_train_fusellm_resume-308081.out
2450,0.44,64.214,5.613138686131387e-06,24.357135772705078,308081,slurm_train_fusellm_resume-308081.out
2460,0.45,63.6013,5.594890510948906e-06,21.445016860961914,308081,slurm_train_fusellm_resume-308081.out
2470,0.45,64.1046,5.576642335766423e-06,22.45049476623535,308081,slurm_train_fusellm_resume-308081.out
2480,0.45,63.6978,5.558394160583942e-06,22.042526245117188,308081,slurm_train_fusellm_resume-308081.out
2490,0.45,63.0684,5.5401459854014605e-06,22.636877059936523,308081,slurm_train_fusellm_resume-308081.out
2500,0.45,64.8987,5.521897810218979e-06,21.771276473999023,308081,slurm_train_fusellm_resume-308081.out
2510,0.45,65.5562,5.503649635036497e-06,21.311922073364258,308895,slurm_train_fusellm_resume-308895.out
2520,0.46,64.0837,5.485401459854015e-06,22.27719497680664,308895,slurm_train_fusellm_resume-308895.out
2530,0.46,63.4461,5.467153284671534e-06,22.04766845703125,308895,slurm_train_fusellm_resume-308895.out
2540,0.46,64.6115,5.448905109489051e-06,23.38526725769043,308895,slurm_train_fusellm_resume-308895.out
2550,0.46,64.3727,5.430656934306569e-06,20.502944946289062,308895,slurm_train_fusellm_resume-308895.out
2560,0.46,64.634,5.412408759124088e-06,23.199975967407227,308895,slurm_train_fusellm_resume-308895.out
2570,0.47,64.4296,5.3941605839416065e-06,29.748214721679688,308895,slurm_train_fusellm_resume-308895.out
2580,0.47,63.8707,5.375912408759124e-06,22.0371036529541,308895,slurm_train_fusellm_resume-308895.out
2590,0.47,64.0594,5.357664233576643e-06,25.826757431030273,308895,slurm_train_fusellm_resume-308895.out
